n_id,mac_address,package_number,node_lat,node_long,x,y,z,rssi,snr,tx_power,bandwith,spreading_factor,coding_rate,gateway_lat,gateway_long
Node2,70b3d5499616b59e,26,45.2285,17.35831,-0.7449,0.3621,-0.6023,-83,7.0,2,0,7,"1
",45.22851,17.35531
Node1,70b3d5499aa0da7c,27,45.22851,17.35832,0.1936,0.9177,-0.3448,-75,6.0,2,0,7,"1
",45.22851,17.35531
Node2,70b3d5499616b59e,27,45.2285,17.35831,-0.7723,0.3813,-0.5728,-85,6.0,2,0,7,"1
",45.22851,17.35531
Node1,70b3d5499aa0da7c,28,45.22851,17.35832,0.1571,0.9332,-0.3762,-76,5.0,2,0,7,"1
",45.22851,17.35531
Node1,70b3d5499aa0da7c,29,45.22851,17.35831,0.1718,0.9131,-0.3738,-82,6.0,2,0,7,"1
",45.22851,17.35531
Node2,70b3d5499616b59e,29,45.2285,17.35831,-0.7188,0.3662,-0.6533,-79,7.0,2,0,7,"1
",45.22851,17.35531
Node2,70b3d5499616b59e,30,45.2285,17.35831,-0.7887,0.3474,-0.5770,-79,7.0,2,0,7,"1
",45.22851,17.35531
Node1,70b3d5499aa0da7c,31,45.22851,17.35831,0.1533,0.9281,-0.3843,-75,1.0,2,0,7,"1
",45.22851,17.35531
Node1,70b3d5499aa0da7c,32,45.22851,17.35831,0.1470,0.9321,-0.3917,-75,1.0,2,0,7,"1
",45.22851,17.35531
Node1,70b3d5499aa0da7c,33,45.22851,17.35831,0.1433,0.9304,-0.3872,-82,6.0,2,0,7,"1
",45.22851,17.35531
Node2,70b3d5499616b59e,33,45.2285,17.35831,-0.7626,0.4038,-0.5667,-80,6.0,2,0,7,"1
",45.22851,17.35531
Node1,70b3d5499aa0da7c,35,45.22851,17.35831,-0.2217,0.9137,-0.4031,-86,7.0,2,0,7,"1
",45.22851,17.35531
Node1,70b3d5499aa0da7c,36,45.22851,17.35831,-0.3136,0.8945,-0.3817,-83,7.0,2,0,7,"1
",45.22851,17.35531
Node2,70b3d5499616b59e,36,45.2285,17.35831,-0.6390,0.7659,-0.2931,-80,7.0,2,0,7,"1
",45.22851,17.35531
Node1,70b3d5499aa0da7c,37,45.22851,17.35831,-0.3202,0.8938,-0.3870,-80,7.0,2,0,7,"1
",45.22851,17.35531
Node2,70b3d5499616b59e,37,45.2285,17.35831,-0.6470,0.7456,-0.3038,-90,6.0,2,0,7,"1
",45.22851,17.35531
Node1,70b3d5499aa0da7c,38,45.22851,17.35831,-0.1592,0.9332,-0.3817,-90,6.0,2,0,7,"1
",45.22851,17.35531
Node1,70b3d5499aa0da7c,39,45.22851,17.35831,0.1925,0.9290,-0.3816,-76,-0.0,2,0,7,"1
",45.22851,17.35531
Node1,70b3d5499aa0da7c,40,45.22851,17.35831,0.1901,0.9323,-0.3732,-78,7.0,2,0,7,"1
",45.22851,17.35531
Node1,70b3d5499aa0da7c,41,45.22851,17.35831,0.1659,0.9324,-0.3798,-79,6.0,2,0,7,"1
",45.22851,17.35531
Node1,70b3d5499aa0da7c,42,45.22851,17.35831,0.1649,0.9341,-0.3882,-78,6.0,2,0,7,"1
",45.22851,17.35531
Node2,70b3d5499616b59e,43,45.2285,17.35831,-0.7673,0.3781,-0.5828,-82,7.0,2,0,7,"1
",45.22851,17.35531
Node1,70b3d5499aa0da7c,43,45.22851,17.35831,0.1661,0.9315,-0.3837,-76,5.0,2,0,7,"1
",45.22851,17.35531
Node1,70b3d5499aa0da7c,44,45.22851,17.35831,0.1566,0.9314,-0.3860,-71,6.0,2,0,7,"1
",45.22851,17.35531
Node2,70b3d5499616b59e,45,45.2285,17.35831,-0.7656,0.3864,-0.5774,-71,6.0,2,0,7,"1
",45.22851,17.35531
Node1,70b3d5499aa0da7c,45,45.22851,17.35831,0.1519,0.9335,-0.3844,-71,6.0,2,0,7,"1
",45.22851,17.35531
Node2,70b3d5499616b59e,47,45.2285,17.35831,-0.7722,0.3827,-0.5757,-74,6.0,2,0,7,"1
",45.22851,17.35531
Node1,70b3d5499aa0da7c,47,45.22851,17.35831,0.1626,0.9266,-0.3943,-77,7.0,2,0,7,"1
",45.22851,17.35531
Node2,70b3d5499616b59e,49,45.2285,17.35831,-0.7712,0.3883,-0.5739,-71,6.0,2,0,7,"1
",45.22851,17.35531
Node1,70b3d5499aa0da7c,49,45.22851,17.35831,0.1420,0.9318,-0.3958,-71,6.0,2,0,7,"1
",45.22851,17.35531
Node1,70b3d5499aa0da7c,2,45.22851,17.35831,0.1418,0.9490,-0.3657,-58,-0.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,3,45.22851,17.35831,0.1215,0.9480,-0.3580,-58,-0.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,4,45.22851,17.35831,0.1647,0.9318,-0.3685,-59,6.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,6,45.22851,17.35831,0.2073,0.9198,-0.3821,-58,0.0,11,0,9,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,7,45.2285,17.35831,-0.7576,0.3551,-0.6412,-58,-1.0,11,0,9,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,12,45.2285,17.35831,-0.6964,0.4001,-0.6841,-65,8.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,12,45.22851,17.35831,0.2421,0.9417,-0.3055,-76,8.0,11,0,9,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,13,45.2285,17.35831,-0.7667,0.3143,-0.6504,-63,8.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,13,45.22851,17.35831,0.2412,0.9596,-0.3992,-70,7.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,14,45.22851,17.35831,0.2761,0.8964,-0.4889,-70,7.0,11,0,9,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,16,45.2285,17.35831,-0.7620,0.2560,-0.7002,-41,8.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,16,45.22851,17.35831,0.3992,0.8009,-0.4962,-50,7.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,17,45.22851,17.35831,0.3844,0.8622,-0.4091,-54,7.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,20,45.22851,17.35831,0.3953,0.9080,-0.3595,-61,4.0,11,0,9,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,22,45.22851,17.3586,-0.8092,0.2079,-0.6141,-68,8.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,21,45.22851,17.35886,0.4194,0.8960,-0.3458,-68,6.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,22,45.2285,17.35896,0.3323,0.8971,-0.3462,-68,8.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,23,45.2285,17.35907,0.3430,0.9254,-0.2780,-71,7.0,11,0,9,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,26,45.2285,17.35885,-0.7496,0.3353,-0.6842,-77,7.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,25,45.2285,17.35929,0.2906,0.8661,-0.3506,-78,6.0,11,0,9,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,27,45.2285,17.35895,-0.7290,0.2140,-0.6475,-83,7.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,26,45.22848,17.3594,0.3235,0.9291,-0.4083,-80,7.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,27,45.22848,17.3595,0.3912,0.8826,-0.1263,-84,7.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,28,45.22848,17.35962,0.4087,0.8467,-0.3062,-80,1.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,29,45.22848,17.35974,0.3059,0.9177,-0.2091,-83,1.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,30,45.22848,17.35986,0.3521,0.8047,-0.4368,-84,1.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,31,45.22841,17.36128,0.4420,0.9604,-0.4657,-86,2.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,32,45.2284,17.36141,0.3701,0.8636,-0.3666,-91,8.0,11,0,9,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,36,45.22842,17.36102,-0.8551,0.2266,-0.6007,-90,-2.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,36,45.22839,17.36198,0.3429,0.9163,-0.3187,-95,4.0,11,0,9,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,39,45.22836,17.36273,-0.8828,0.1869,-0.5475,-99,7.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,37,45.22838,17.36212,0.3334,0.9468,-0.3907,-96,8.0,11,0,9,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,40,45.22835,17.36286,-0.7920,0.1566,-0.5847,-100,5.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,38,45.22837,17.36227,0.2839,0.8907,-0.4122,-96,7.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,39,45.22837,17.36241,0.3516,0.8770,-0.3138,-97,7.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,40,45.22836,17.36256,0.4490,0.9456,-0.4929,-99,6.0,11,0,9,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,44,45.22832,17.36329,-0.8163,0.2736,-0.5813,-103,5.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,42,45.22827,17.36431,0.3145,0.8154,-0.3217,-100,5.0,11,0,9,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,45,45.22832,17.36344,-0.8197,0.2147,-0.5646,-102,5.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,43,45.22826,17.36446,0.4935,0.9027,-0.3083,-100,5.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,44,45.22824,17.36462,0.1804,0.9551,-0.2954,-100,5.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,45,45.22823,17.36477,0.1687,0.9202,-0.2998,-98,-0.0,11,0,9,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,47,45.22822,17.36509,0.2263,0.8027,-0.3710,-101,5.0,11,0,9,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,0,45.22811,17.37012,-0.9991,0.1178,-0.4904,-109,-0.0,13,0,7,"3
",45.22851,17.35531
Node2,70b3d5499616b59e,1,45.22813,17.3719,-1.0026,0.2036,-0.6497,-107,1.0,13,0,7,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,1,45.2281,17.37061,0.4866,0.8232,-0.3220,-102,4.0,13,0,7,"3
",45.22851,17.35531
Node2,70b3d5499616b59e,4,45.22813,17.37226,-0.9583,-0.1149,-0.9774,-108,1.0,13,0,7,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,5,45.22813,17.37278,0.3964,0.9373,-0.3092,-111,-2.0,13,0,7,"3
",45.22851,17.35531
Node2,70b3d5499616b59e,7,45.22814,17.37263,-0.5204,0.4598,-0.4851,-112,-2.0,13,0,7,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,8,45.22813,17.37315,0.2622,0.9636,-0.3586,-112,-2.0,13,0,7,"3
",45.22851,17.35531
Node2,70b3d5499616b59e,12,45.22817,17.37506,-0.6567,0.3903,-0.7021,-116,-6.0,13,0,7,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,13,45.22817,17.37565,0.3212,0.9729,-0.4264,-114,-4.0,13,0,7,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,16,45.22817,17.37603,0.3505,0.8593,-0.3359,-117,-6.0,13,0,7,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,24,45.22821,17.3789,0.3269,1.1050,-0.3401,-114,-4.0,13,0,7,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,41,45.22872,17.38464,0.3630,0.8689,-0.3177,-120,-9.0,13,0,7,"3
",45.22851,17.35531
Node1,70b3d5499aa0da7c,3,45.22814,17.3728,0.3163,0.9302,-0.3190,-130,-21.0,8,1,11,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,32,45.2283,17.36428,0.1479,0.9141,-0.4526,-114,-6.0,8,1,11,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,37,45.22841,17.36192,0.2374,1.0956,-0.1743,-103,2.0,8,1,11,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,40,45.22841,17.36158,0.2170,0.7854,-0.3691,-98,4.0,8,1,11,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,45,45.22851,17.35926,0.2874,0.8934,-0.4158,-69,5.0,8,1,11,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,48,45.22851,17.35899,0.2432,1.0200,-0.2963,-52,7.0,8,1,11,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,0,45.22842,17.35959,-0.7416,0.5222,-0.5009,-60,7.0,11,1,8,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,1,45.22848,17.35827,-0.7379,0.5732,-0.4232,-59,7.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,2,45.22852,17.35825,0.1603,0.9592,-0.3030,-75,7.0,11,1,8,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,4,45.22848,17.35827,-0.6869,0.6027,-0.5267,-69,8.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,4,45.22852,17.35826,0.0769,0.9552,-0.3188,-69,8.0,11,1,8,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,6,45.22848,17.35827,-0.6294,0.5771,-0.5908,-67,7.0,11,1,8,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,7,45.22848,17.35827,-0.6742,0.5868,-0.5378,-70,7.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,7,45.22852,17.35826,0.0886,0.9746,-0.2882,-64,7.0,11,1,8,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,8,45.22848,17.35827,-0.6718,0.5715,-0.5420,-83,8.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,9,45.22852,17.35826,0.1227,0.9680,-0.2830,-64,7.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,11,45.22852,17.35826,0.1111,0.9661,-0.3129,-62,7.0,11,1,8,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,12,45.22848,17.35827,-0.6760,0.5563,-0.5201,-60,6.0,11,1,8,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,14,45.22852,17.35831,0.1097,0.9651,-0.3121,-66,7.0,11,1,8,"4
",45.22851,17.35531
