n_id,mac_address,package_number,node_lat,node_long,x,y,z,rssi,snr,tx_power,bandwith,spreading_factor,coding_rate,gateway_lat,gateway_long
Node1,70b3d5499aa0da7c,1,45.80863,15.9532,0.0145,-0.3754,0.5699,-127,-17.0,8,0,11,"1
",45.805630,15.957969
Node1,70b3d5499aa0da7c,4,45.80183,15.95102,0.0399,0.3350,0.9469,-128,-20.0,14,1,12,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,6,45.80184,15.95103,0.0464,0.3506,0.9489,-126,-19.0,14,1,12,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,8,45.80184,15.95103,0.0483,0.3435,0.9473,-127,-19.0,14,1,12,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,9,45.80183,15.95103,0.0398,0.3350,0.9487,-127,-19.0,14,1,12,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,0,45.80184,15.95105,0.0315,0.3257,0.9532,-126,-19.0,14,1,12,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,3,45.80184,15.95105,0.0222,0.3092,0.9657,-127,-20.0,14,1,12,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,6,45.80188,15.951,0.0197,0.3003,0.9708,-128,-20.0,14,1,12,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,0,45.80306,15.95884,-0.4854,0.8851,0.1829,-121,-11.0,5,0,12,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,2,45.80309,15.95883,-0.3392,0.9003,0.3240,-120,-11.0,5,0,12,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,4,45.80312,15.95882,-0.4243,0.9188,0.1885,-121,-12.0,5,0,12,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,0,45.80396,15.95845,-0.4430,1.0764,0.2439,-115,-6.0,5,0,12,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,2,45.804,15.95843,-0.4385,0.8557,0.2816,-106,-1.0,5,0,12,"3
",45.805630,15.957969
Node1,70b3d5499aa0da7c,0,45.8054,15.9581,-0.5233,1.1758,0.3368,-95,3.0,4,1,12,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,1,45.80538,15.95778,-0.4595,0.9141,0.3014,-100,-0.0,4,1,12,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,3,45.80536,15.95775,-0.3690,0.8041,0.3490,-100,0.0,4,1,12,"2
",45.805630,15.957969
